accuracy,balanced_accuracy,macro_f1,weighted_f1,attack_recall,minority_recall,precision_attack,fpr,fnr,roc_auc,pr_auc,model,family,train_time_sec,inference_latency_sec_per_sample,peak_memory_MB,seed,eval_split,dataset,row_cap,post_determinism_fix
0.9962862491116027,0.9669138793726144,0.9608089210853039,0.9963105108143393,0.9977642401493242,0.9360635185959048,0.9984298190700013,0.06393648140409527,0.0022357598506758556,0.9994844767404201,0.9999873926989534,CatBoost,classical_tree,32.482659101486206,1.6689109609409117e-06,3.199352,1,test,CICIoT2023,100000,True
0.7921333333333334,0.7730063887152141,0.773840818868575,0.7918074469996902,0.841479937467431,0.7045328399629972,0.8348671285285907,0.2954671600370028,0.15852006253256903,0.8780632161273482,0.9190781355204876,LogisticRegression,classical_tree,1.5990231037139893,2.553462982177734e-07,3.437143,2,test,UNSW-NB15,100000,True
0.8914666666666666,0.8681830605768596,0.878572378738658,0.8896253792334118,0.9515372589890568,0.7848288621646623,0.8870105897211698,0.21517113783533764,0.0484627410109432,0.9613296221291636,0.9740025207689751,LinearSVM,classical_tree,41.239203214645386,1.1161645253499349e-06,27.796118,2,test,UNSW-NB15,100000,True
0.7424666666666667,0.7656529307441675,0.7379792776494977,0.7475575557859919,0.68264721208963,0.848658649398705,0.8889793702497285,0.1513413506012951,0.31735278791036997,0.8541725835274019,0.8991690457516417,GaussianNB,classical_tree,0.04316902160644531,1.0020891825358073e-06,30.232137,2,test,UNSW-NB15,100000,True
0.9198666666666667,0.9141352433115653,0.9132659995271434,0.9199496136679367,0.9346534653465347,0.8936170212765957,0.9397464109818715,0.10638297872340426,0.06534653465346535,0.9804301885955672,0.987054800116427,kNN,classical_tree,0.00834035873413086,3.888394037882487e-05,6.511172,2,test,UNSW-NB15,100000,True
0.9328,0.940403260833411,0.9288554207388782,0.9335348621613301,0.9131839499739448,0.967622571692877,0.980418484950207,0.032377428307123035,0.08681605002605523,0.9808217932655527,0.985385968521169,DecisionTree,classical_tree,0.690746545791626,2.0229021708170574e-07,16.316428,2,test,UNSW-NB15,100000,True
0.9375333333333333,0.9395787005547042,0.9331840837061813,0.9379458699454725,0.9322563835330901,0.9469010175763182,0.9689124783362218,0.05309898242368177,0.06774361646690985,0.9902860002149979,0.9946794547268409,RandomForest,classical_tree,3.2696714401245117,1.529256502787272e-05,215.698892,2,test,UNSW-NB15,100000,True
0.9225333333333333,0.9191686041382754,0.9165001844181813,0.9227697513711791,0.9312141740489839,0.907123034227567,0.946805128748543,0.09287696577243293,0.06878582595101615,0.9830726765163978,0.9904871367977627,ExtraTrees,classical_tree,2.4082608222961426,1.3199122746785482e-05,176.143775,2,test,UNSW-NB15,100000,True
0.9353333333333333,0.930304916172517,0.9299226708472763,0.9353618924923289,0.9483064095883272,0.9123034227567067,0.9504857411469758,0.08769657724329324,0.05169359041167275,0.9879017411454374,0.993298498549579,GradientBoosting,classical_tree,39.407663106918335,1.6058603922526041e-06,19.178545,2,test,UNSW-NB15,100000,True
0.9434666666666667,0.9412675909004795,0.9389928514010321,0.9436076436125065,0.9491401771756123,0.9333950046253469,0.9619731699588042,0.0666049953746531,0.0508598228243877,0.9906364082048207,0.9948745684691225,HistGradientBoosting,classical_tree,3.6764237880706787,4.042991002400716e-06,61.517377,2,test,UNSW-NB15,100000,True
0.9433333333333334,0.9412845593435141,0.9388680034286084,0.943483132264523,0.9486190724335591,0.933950046253469,0.9622581668252458,0.06604995374653098,0.05138092756644085,0.9907283173908705,0.9949366749464471,XGBoost,classical_tree,0.6922335624694824,3.528912862141927e-07,0.564046,2,test,UNSW-NB15,100000,True
0.9438,0.9484359385838774,0.9401063946311268,0.9442610809386647,0.9318394997394476,0.9650323774283072,0.9792990142387733,0.03496762257169288,0.06816050026055237,0.9910350123575579,0.9951109826064455,LightGBM,classical_tree,0.6561503410339355,7.110595703125e-07,4.140725,2,test,UNSW-NB15,100000,True
0.9409333333333333,0.9374695520090011,0.9361288009394919,0.9410220898870358,0.9498697238144868,0.9250693802035153,0.9574535140245825,0.07493061979648474,0.05013027618551329,0.9900516235955842,0.9945206129397729,CatBoost,classical_tree,15.579160690307617,9.30627187093099e-07,0.843036,2,test,UNSW-NB15,100000,True
0.8642399730367375,0.7655596274240342,0.7874986486486486,0.8578699696663297,0.9446327683615819,0.5864864864864865,0.8875459371171907,0.4135135135135135,0.05536723163841808,0.8753739397807194,0.9397117811625582,LogisticRegression,classical_tree,4.302538156509399,2.5195066158241963e-07,3.474564,2,test,ToN-IoT-Network,100000,True
0.80438153016515,0.5661846983880883,0.5614789051518808,0.7413293679254952,0.9984354628422425,0.13393393393393394,0.7993180711154408,0.8660660660660661,0.0015645371577574967,0.8181346666092428,0.8935813509332515,LinearSVM,classical_tree,130.9515082836151,1.0759130567262017e-06,26.966861,2,test,ToN-IoT-Network,100000,True
